fid,Name,Born_yr,Died_yr,Born_location,Died_Location,Partner,Partner_yr_married,Direct_Descendant,Born_Lat,Born_Long,Died_Lat,Died_Long,field_13,Checked,wkt
2,Joachim,,1699,Wismar,Gubkow,Marie Elisabeth Korte,d1715 Gubkow,Ascan,53.8909832,11.4647932,54.0298298,12.3471114,,Y,"LINESTRING(11.4647932 53.8909832, 12.3471114 54.0298298)"
3,Ascan Friedrich,1661,1728,Gubkow,Gubkow,Barbara v. Venninghusen,b1672 Gluckstadt d1745 Gubkow,Joachim,54.0298298,12.3471114,54.0298298,12.3471114,,Y,"LINESTRING(12.3471114 54.0298298, 12.3471114 54.0298298)"
4,Johann Hermann,1683,1742,Striesdorf,Garz (Rugen),Anna Lucie v. Cambs,b1693 Drtow d1726,Joachim,53.9313208,12.2578451,54.3195842,13.3516021,,Y,"LINESTRING(12.2578451 53.9313208, 13.3516021 54.3195842)"
5,Maria Elisabeth,1701,1768,Gubkow,Schwandt,Adam Karl v. Voss,m1722 b1678 Passenthin d1765 Schwandt,Ascan Friedrich,54.0298298,12.3471114,53.5933755,13.0279388,,Y,"LINESTRING(12.3471114 54.0298298, 13.0279388 53.5933755)"
6,Joachim Christian,1705,1763,Gubkow,Petschow,"Elisabeth Juliane v. Blucher, Gabriele Margarethe v. Knustorff, Katarian Sofie Baronin v. Le Fort",i. m1739 ii. m1741 iii. M1748,Ascan Friedrich,54.0298298,12.3471114,54.0372227,12.2921716,,Y,"LINESTRING(12.3471114 54.0298298, 12.2921716 54.0372227)"
8,Johann Peter,1709,1763,Gubkow,Drosedow,,,Ascan Friedrich,54.0298298,12.3471114,53.2396975,12.9147904,,Y,"LINESTRING(12.3471114 54.0298298, 12.9147904 53.2396975)"
10,Joachim Friedrich,1717,1779,Gotemitz,Konigsberg,"Charlotte Johanna v.Donniges, v. Vangert",,Johann Hermann,54.336461,13.2432721,54.715424,20.509207,,Y,"LINESTRING(13.2432721 54.336461, 20.509207 54.715424)"
14,Friedrich Alexander,1729,1809,Gotemitz,Woldegk,v. der Kettenburg,,Johann Hermann,54.336461,13.2432721,53.4592923,13.5833378,,Y,"LINESTRING(13.2432721 54.336461, 13.5833378 53.4592923)"
15,Friedrich Hartwig,1739,1811,Petschow,Ganzkow,,,Joachim Christian,54.0372227,12.2921716,53.6629206,13.3331885,,Y,"LINESTRING(12.2921716 54.0372227, 13.3331885 53.6629206)"
16,Anna Elisabeth,1742,1809,Petschow,Butzow,,,Joachim Christian,54.0372227,12.2921716,53.8374497,13.6451173,,Y,"LINESTRING(12.2921716 54.0372227, 13.6451173 53.8374497)"
17,Agents Amalia,1745,1747,Petschow,Gubkow,,,Joachim Christian,54.0372227,12.2921716,54.0298298,12.3471114,,Y,"LINESTRING(12.2921716 54.0372227, 12.3471114 54.0298298)"
18,Adolf Friedrich Albert,1755,1802,Drosedow,Kustrin,Karoline Ramm,m1784 b1770 Wriezen d1813 Berlin,Ernst Peter,53.2396975,12.9147904,52.5564346,14.6011884,,Y,"LINESTRING(12.9147904 53.2396975, 14.6011884 52.5564346)"
19,Dorothea Christiane Sofie,1756,1757,Drosedow,Drosedow,,,Ernst Peter,53.2396975,12.9147904,53.2396975,12.9147904,,Y,"LINESTRING(12.9147904 53.2396975, 12.9147904 53.2396975)"
20,Karl Friedrich Ernst,1757,1831,Drosedow,Bartenstein,,,Ernst Peter,53.2396975,12.9147904,49.3561573,9.8820152,,Y,"LINESTRING(12.9147904 53.2396975, 9.8820152 49.3561573)"
28,Friederike Johanna Luise,1787,1867,Frankfurt/Oder,Berlin,Georg Brock,b1777,Adolf Friedrich Albert,52.3412273,14.549452,52.5173885,13.3951309,,y,"LINESTRING(14.549452 52.3412273, 13.3951309 52.5173885)"
29,Adolf Joachim Friedrich Albert,1789,1867,Kustrin,Schweidnitz,Wilhelmine Goldbeck,m1817 b1787,Adolf Friedrich Albert,52.5564346,14.6011884,51.0738009,14.6556933,,y,"LINESTRING(14.6011884 52.5564346, 14.6556933 51.0738009)"
30,Leopold,1792,1809,Kustrin,Berlin,,,Adolf Friedrich Albert,52.5564346,14.6011884,52.5173885,13.3951309,,y,"LINESTRING(14.6011884 52.5564346, 13.3951309 52.5173885)"
31,Ernst Friedrich Ludwig Theodor,1795,1848,Kustrin,Schweidnitz,Charlotte John,m1821 b1791,Adolf Friedrich Albert,52.5564346,14.6011884,51.0738009,14.6556933,,y,"LINESTRING(14.6011884 52.5564346, 14.6556933 51.0738009)"
32,Dorothea Amaliaa Charlotte,1798,1872,Kustrin,Berlin,,,Adolf Friedrich Albert,52.5564346,14.6011884,52.5173885,13.3951309,,y,"LINESTRING(14.6011884 52.5564346, 13.3951309 52.5173885)"
33,Lina,1800,1805,Kustrin,Berlin,,,Adolf Friedrich Albert,52.5564346,14.6011884,52.5173885,13.3951309,,y,"LINESTRING(14.6011884 52.5564346, 13.3951309 52.5173885)"
34,Marie,1822,1855,Berlin,Berlin,,,Adolf Joachim Friedrich Albert,52.5173885,13.3951309,52.5173885,13.3951309,,y,"LINESTRING(13.3951309 52.5173885, 13.3951309 52.5173885)"
35,Adolf Willhelm,1826,1899,Berlin,Wiesbaden,Beta Prillwitz,m1867 b1834 Nauen d1907 Berlin,Adolf Joachim Friedrich Albert,52.5173885,13.3951309,50.0820384,8.2416556,,y,"LINESTRING(13.3951309 52.5173885, 8.2416556 50.0820384)"
36,Ernst Friedrich Joachim,1822,1907,Schweidnitz,Schweidnitz,Elisabeth Sommerbrodt,m1861 b1841 Schweidnitz d1908 Breslau,Ernst Friedrich Ludwig Theodor,50.85034314,16.47604071,51.0738009,14.6556933,,y,"LINESTRING(16.47604071 50.85034314, 14.6556933 51.0738009)"
37,Emma,1834,1905,Schweidnitz,Petschow,Henrich Lachel,m1848 d1851 Schweidnitz,Ernst Friedrich Ludwig Theodor,50.85034314,16.47604071,54.0372227,12.2921716,,y,"LINESTRING(16.47604071 50.85034314, 12.2921716 54.0372227)"
38,Ida Friedrike,1825,1889,Schweidnitz,Schweidnitz,Felix Schmidt,m1854 b1825 Schweidnitz d1878 Genthin,Ernst Friedrich Ludwig Theodor,50.85034314,16.47604071,51.0738009,14.6556933,,y,"LINESTRING(16.47604071 50.85034314, 14.6556933 51.0738009)"
39,Agnes Friederike,1826,1892,Schweidnitz,Schweidnitz,,,Ernst Friedrich Ludwig Theodor,50.85034314,16.47604071,51.0738009,14.6556933,,y,"LINESTRING(16.47604071 50.85034314, 14.6556933 51.0738009)"
40,Klara,1832,1891,Schweidnitz,Schweidnitz,Hermann Woywod,m1856,Ernst Friedrich Ludwig Theodor,50.85034314,16.47604071,51.0738009,14.6556933,,y,"LINESTRING(16.47604071 50.85034314, 14.6556933 51.0738009)"
41,Adolf Willhelm Ludwig,1868,1930,Koblenz,Berlin,Sophie Herwarth v. Bidenfeld,m1897 b1873 Dargistaff d1947 Berlin,Adolf Willhelm,50.3533278,7.5943951,52.5173885,13.3951309,,y,"LINESTRING(7.5943951 50.3533278, 13.3951309 52.5173885)"
42,Hans Ernst Adolf,1870,1893,Mainz,Berlin,,,Adolf Willhelm,49.9995205,8.2736253,52.5173885,13.3951309,,y,"LINESTRING(8.2736253 49.9995205, 13.3951309 52.5173885)"
43,Walter Willhelm Heinrich Adolf Joachim,1862,1938,Ehrenbreitstein,Potsdam,Antoine Kuhn-Schuhmann,m1895 b1869 Glogau d1945,Ernst Friedrich Joachim,50.3592938,7.6138426,52.4009309,13.0591397,,y,"LINESTRING(7.6138426 50.3592938, 13.0591397 52.4009309)"
44,Hans-Joachim Paul Julius,1867,1943,Dusseldorf,Nordhausen,"Margarete Rausch, Ida Maria Rosenkranz",i. m1897 b1878 Nordhausen d1929 Nordhausen ii. M1941 b1892 Caldau d1965 Isingdorf-Arrode,Ernst Friedrich Joachim,51.2254018,6.7763137,51.5051574,10.7925317,,y,"LINESTRING(6.7763137 51.2254018, 10.7925317 51.5051574)"
45,Hans-Joachim Friedrich Willhelm,1899,1974,Berlin,Berlin,,,Adolf Willhelm Ludwig,52.5173885,13.3951309,52.5173885,13.3951309,,y,"LINESTRING(13.3951309 52.5173885, 13.3951309 52.5173885)"
46,Horst Eberhard Adolf,1900,1918,Berlin,Epernay,,,Adolf Willhelm Ludwig,52.5173885,13.3951309,49.04440835,3.950170478,,y,"LINESTRING(13.3951309 52.5173885, 3.950170478 49.04440835)"
47,Harold Gerd Francis,1907,1998,Berlin,Freiburg,Gertrud v. Casimir,m1936 b1912 Berlin d2002 Freiburg,Adolf Willhelm Ludwig,52.5173885,13.3951309,47.9960901,7.8494005,,y,"LINESTRING(13.3951309 52.5173885, 7.8494005 47.9960901)"
48,Ursula Antonie Elisabeth Charlotte,1896,1971,Stettin,Berlin,Friedrich Willheim v.Klitzing,m1927 b1900 Stettin d1945,Walter Willhelm Heinrich Adolf Joachim,53.4286937,14.5541812,52.5173885,13.3951309,,y,"LINESTRING(14.5541812 53.4286937, 13.3951309 52.5173885)"
49,Ingeborg Minna Elvine Gertrud,1899,1946,Stettin,Elvese,Wolfdietrich v.Eichmann,m1927 b1900 Freystadt,Walter Willhelm Heinrich Adolf Joachim,53.4286937,14.5541812,51.6622994,9.9464121,,y,"LINESTRING(14.5541812 53.4286937, 9.9464121 51.6622994)"
50,Elisabeth Charlotte Hedwig Gudula,1903,1981,Strassburg,Schwabish-Hall,"Paul Gravenstein, Erich Wachter",i. m1922 b1887 Sydow d1925 Berlin ii. m1940 b1901 Bremen d1965 Berlin,Walter Willhelm Heinrich Adolf Joachim,48.5744314,7.766875392,49.11675419,9.723711066,,y,"LINESTRING(7.766875392 48.5744314, 9.723711066 49.11675419)"
51,Mara Elisabeth Helene,1898,1899,Hannover,Hannover,,,Hans-Joachim Paul Julius,52.3744779,9.7385532,52.3744779,9.7385532,,y,"LINESTRING(9.7385532 52.3744779, 9.7385532 52.3744779)"
52,Hans Ulrich Joachim Ernst Ottomar,1900,1935,Posen,Breslau,Marie-Luise Klauser (Omi),m1930 b1907 Bersenbruck d1999 Grenzach,Hans-Joachim Paul Julius,52.40351973,16.95791685,51.11210881,17.0219554,,y,"LINESTRING(16.95791685 52.40351973, 17.0219554 51.11210881)"
53,Vera Helene Elisabeth Charlote,1903,1985,Posen,Kassel,,,Hans-Joachim Paul Julius,52.40351973,16.95791685,51.3157833,9.4978479,,y,"LINESTRING(16.95791685 52.40351973, 9.4978479 51.3157833)"
54,Hans-Joachim Arthur Fritz Walter,1911,2000,Posen,Munster,"Margarete Horch, Edith Dziemba",i. m1939 b1915 Danzig d1975 Munster ii. M1976 b1930- Gelsenkirchen,Hans-Joachim Paul Julius,52.40351973,16.95791685,51.9625101,7.6251879,,y,"LINESTRING(16.95791685 52.40351973, 7.6251879 51.9625101)"
